# Hand-written test DDL that differs from the migrated Postgres schema (CHAOS-6769).
# file<TAB>table<TAB>kind<TAB>invented columns. A ratchet: it only shrinks. See the test's doc comment.
internal/api/policy/store_integration_test.go	audit_logs	SUBSET	
internal/api/policy/store_integration_test.go	feature_flags	SUBSET	
internal/api/policy/store_integration_test.go	impersonation_sessions	SUBSET	
internal/api/policy/store_integration_test.go	memberships	SUBSET	
internal/api/policy/store_integration_test.go	org_feature_overrides	SUBSET	
internal/api/policy/store_integration_test.go	org_licenses	SUBSET	
internal/api/policy/store_integration_test.go	organizations	SUBSET	
internal/api/policy/store_integration_test.go	settings	SUBSET	
internal/api/policy/store_integration_test.go	sync_configurations	SUBSET	
internal/api/policy/store_integration_test.go	users	SUBSET	
internal/api/policy/store_integration_test.go	worker_instances	PROBE	id
internal/joboperator/postgres_integration_test.go	audit_logs	SUBSET	
internal/joboperator/postgres_integration_test.go	backfill_jobs	SUBSET	
internal/joboperator/postgres_integration_test.go	billing_notifications	SUBSET	
internal/joboperator/postgres_integration_test.go	daily_metrics_finalize_redrive_events	SUBSET	
internal/joboperator/postgres_integration_test.go	daily_metrics_partition_recompute_events	SUBSET	
internal/joboperator/postgres_integration_test.go	daily_metrics_partitions	SUBSET	
internal/joboperator/postgres_integration_test.go	daily_metrics_runs	SUBSET	
internal/joboperator/postgres_integration_test.go	dev_conversation_tombstones	SUBSET	
internal/joboperator/postgres_integration_test.go	dev_conversations	SUBSET	
internal/joboperator/postgres_integration_test.go	external_ingest_batch_payloads	PROBE	id
internal/joboperator/postgres_integration_test.go	external_ingest_batches	PROBE	id
internal/joboperator/postgres_integration_test.go	external_ingest_recompute_jobs	SUBSET	
internal/joboperator/postgres_integration_test.go	external_ingest_rejections	SUBSET	
internal/joboperator/postgres_integration_test.go	external_ingest_sources	SUBSET	
internal/joboperator/postgres_integration_test.go	feature_flags	SUBSET	
internal/joboperator/postgres_integration_test.go	fixed_schedule_occurrences	PROBE	id
internal/joboperator/postgres_integration_test.go	integration_credentials	SUBSET	
internal/joboperator/postgres_integration_test.go	integration_datasets	SUBSET	
internal/joboperator/postgres_integration_test.go	integration_sources	SUBSET	
internal/joboperator/postgres_integration_test.go	integrations	SUBSET	
internal/joboperator/postgres_integration_test.go	internal_service_credentials	SUBSET	
internal/joboperator/postgres_integration_test.go	job_runs	SUBSET	
internal/joboperator/postgres_integration_test.go	metric_compatibility_execution_repairs	SUBSET	
internal/joboperator/postgres_integration_test.go	metric_compatibility_executions	SUBSET	
internal/joboperator/postgres_integration_test.go	org_feature_overrides	SUBSET	
internal/joboperator/postgres_integration_test.go	org_licenses	SUBSET	
internal/joboperator/postgres_integration_test.go	organizations	SUBSET	
internal/joboperator/postgres_integration_test.go	provider_oauth_credentials	PROBE	id
internal/joboperator/postgres_integration_test.go	provider_rate_limit_observations	SUBSET	
internal/joboperator/postgres_integration_test.go	remaining_metric_partitions	SUBSET	
internal/joboperator/postgres_integration_test.go	remaining_metric_runs	SUBSET	
internal/joboperator/postgres_integration_test.go	report_runs	SUBSET	
internal/joboperator/postgres_integration_test.go	saved_reports	SUBSET	
internal/joboperator/postgres_integration_test.go	scheduled_jobs	SUBSET	
internal/joboperator/postgres_integration_test.go	scheduled_report_occurrences	SUBSET	
internal/joboperator/postgres_integration_test.go	scheduled_sync_occurrences	PROBE	id
internal/joboperator/postgres_integration_test.go	sync_compute_checkpoints	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_configurations	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_coverage_projections	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_dispatch_outbox	PROBE	state
internal/joboperator/postgres_integration_test.go	sync_dispatch_transport_routes	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_run_post_dispatches	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_run_reference_discoveries	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_run_unit_chunk_checkpoints	PROBE	id
internal/joboperator/postgres_integration_test.go	sync_run_unit_effect_chunks	PROBE	id
internal/joboperator/postgres_integration_test.go	sync_run_unit_effect_snapshots	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_run_units	PROBE	state
internal/joboperator/postgres_integration_test.go	sync_runs	SUBSET	
internal/joboperator/postgres_integration_test.go	sync_watermarks	PROBE	state
internal/joboperator/postgres_integration_test.go	tier_limits	SUBSET	
internal/joboperator/postgres_integration_test.go	users	SUBSET	
internal/joboperator/postgres_integration_test.go	webhook_deliveries	SUBSET	
internal/joboperator/postgres_integration_test.go	work_graph_execution_ledger	SUBSET	
internal/joboperator/postgres_integration_test.go	work_graph_execution_repairs	SUBSET	
internal/joboperator/postgres_integration_test.go	worker_concurrency_leases	SUBSET	
internal/joboperator/postgres_integration_test.go	worker_instances	SUBSET	
internal/joboperator/postgres_integration_test.go	worker_job_completion_fences	SUBSET	
internal/joboperator/postgres_integration_test.go	worker_job_delivery_abandonments	SUBSET	
internal/joboperator/postgres_integration_test.go	worker_job_outbox	INVENTED	state
internal/joboperator/postgres_integration_test.go	worker_job_runs	SUBSET	
internal/joboutbox/relay_integration_test.go	integrations	SUBSET	
internal/joboutbox/relay_integration_test.go	sync_run_units	SUBSET	
internal/joboutbox/relay_integration_test.go	sync_runs	SUBSET	
internal/joboutbox/strand_repair_integration_test.go	daily_metrics_partitions	SUBSET	
internal/joboutbox/strand_repair_integration_test.go	daily_metrics_runs	SUBSET	
internal/jobroute/control_integration_test.go	sync_run_units	SUBSET	
internal/jobroute/control_integration_test.go	worker_job_outbox	SUBSET	
internal/jobroute/control_integration_test.go	worker_job_runs	SUBSET	
internal/jobs/metrics/remaining/recommendations_readiness_integration_test.go	daily_metrics_partitions	SUBSET	
internal/jobs/metrics/remaining/recommendations_readiness_integration_test.go	daily_metrics_runs	SUBSET	
internal/jobs/operational/billingfence_integration_test.go	memberships	SUBSET	
internal/jobs/operational/billingfence_integration_test.go	organizations	SUBSET	
internal/jobs/operational/billingfence_integration_test.go	users	SUBSET	
internal/jobs/operational/github_app_events_integration_test.go	integration_credentials	SUBSET	
internal/jobs/repair/repair_integration_test.go	daily_metrics_partitions	SUBSET	
internal/jobs/repair/repair_integration_test.go	daily_metrics_runs	SUBSET	
internal/jobs/repair/repair_integration_test.go	remaining_metric_partitions	SUBSET	
internal/jobs/repair/repair_integration_test.go	remaining_metric_runs	SUBSET	
internal/jobs/report/postgres_integration_test.go	report_runs	SUBSET	
internal/jobs/report/postgres_integration_test.go	saved_reports	SUBSET	
