source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	.github/documentation-program/phase-9/README.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-9/duplicate-resolutions.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-9/internal-boundary.yml	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-9/redirects.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/reader-tasks.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/style-guide.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/templates.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/workflows/docs-cloudflare.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-guards.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-health-report.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-inventory-review.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	AGENTS.md	repository-entry-point	external-entry-point						repository-guidance			False	False							Public repository entry point; links into documentation must be inventoried and updated at cutover.
full-chaos/dev-health-ops	Makefile	configuration	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	README.md	repository-entry-point	external-entry-point						repository-guidance			False	False							Public repository entry point; links into documentation must be inventoried and updated at cutover.
full-chaos/dev-health-ops	docs-prototype/admin/data-sources/credential-lifecycle.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/admin/data-sources/github.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/admin/data-sources/gitlab.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/admin/data-sources/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
